nome,cpf,idade,data,endereco,estado
Kamilly Costa,970.514.286-67,59,1966-03-19,"área de moreira, 86
pindura saia
14553-633 andrade / sp",DISTRITO FEDERAL
Davi Luiz Araújo,187.564.039-84,23,2001-11-07,"trevo gustavo carvalho, 98
dom silverio
34425156 cardoso / rr",RORAIMA
Gabrielly Garcia,324.795.608-56,60,1964-10-14,"esplanada de almeida, 128
vila independencia 1ª seção
22461-413 pereira de peixoto / mg",SERGIPE
Srta. Hadassa Pimenta,240.378.195-97,59,1965-09-20,"passarela de câmara
jardinópolis
30485-550 oliveira da serra / ro",GOIÁS
Sra. Larissa Ribeiro,130.782.945-79,50,1974-09-12,"avenida de novais, 29
padre eustáquio
27211-508 vargas do galho / go",CEARÁ
Maria Laura Freitas,857.149.362-64,50,1974-12-12,"vila castro, 8
vila nossa senhora do rosário
07433-746 fonseca / se",AMAZONAS
Maria Isis Costa,063.749.825-92,46,1978-11-02,"avenida allana barros, 75
jardim vitoria
00224-756 viana / rs",AMAPÁ
Sra. Alice Pastor,346.712.908-04,39,1985-07-31,"praça diego da rosa, 59
nova esperança
41225891 silveira / rs",SANTA CATARINA
Vitor Gabriel Mendes,105.362.874-90,24,2001-01-10,"viaduto melina abreu, 679
paraíso
61593825 vieira / rr",MARANHÃO
Sra. Mariane Pastor,721.845.630-80,43,1981-12-22,"núcleo nascimento, 94
vila são paulo
55648498 azevedo paulista / sp",TOCANTINS
Dra. Larissa Guerra,053.687.194-93,52,1973-07-02,"lago arthur gabriel caldeira, 3
xodo-marize
64492314 souza do sul / rr",RIO GRANDE DO SUL
Juliana Cardoso,582.316.947-73,54,1971-03-26,"setor de sampaio, 39
paulo vi
96190-687 barbosa / rn",GOIÁS
Isis Pimenta,351.689.042-89,32,1992-11-24,"setor cardoso, 120
nossa senhora aparecida
92375-810 camargo / pr",MINAS GERAIS
Rael Carvalho,790.516.483-75,45,1980-02-09,"condomínio oliveira, 4
morro dos macacos
54824-433 cavalcante alegre / df",PIAUÍ
José Miguel Sampaio,594.826.301-06,48,1976-08-06,"feira casa grande, 35
jatobá
09678481 cavalcanti / ms",MINAS GERAIS
Srta. Rebeca Silva,215.730.684-62,38,1986-08-21,"favela montenegro
venda nova
60696966 costela de abreu / ro",ACRE
Rael Porto,283.697.401-03,47,1978-07-23,"vale nicole campos
vila maria
87102208 rocha / pa",SERGIPE
Lucas Costa,093.156.478-66,36,1989-03-15,"área de moura
vila jardim alvorada
21892494 novais / mg",ALAGOAS
João Pedro Campos,745.198.603-93,56,1969-02-12,"alameda davi lucca sampaio
são bento
86296-321 siqueira / ac",PARÁ
Juliana Macedo,543.701.692-16,56,1969-03-11,"distrito sara dias, 70
gutierrez
75789913 pacheco / ac",MATO GROSSO
Dr. Leonardo Oliveira,691.508.724-94,37,1988-03-25,"vila rios, 12
jardim montanhês
43366410 caldeira de borges / ce",MINAS GERAIS
Breno Mendonça,497.523.681-82,37,1988-01-12,"estrada esther gomes, 58
coração de jesus
95399403 machado de goiás / al",GOIÁS
Rodrigo Abreu,392.478.065-00,25,2000-03-15,"colônia pinto, 289
heliopolis
24648-904 fonseca / rr",SANTA CATARINA
Sra. Maria Alice Nogueira,590.718.426-49,57,1968-04-17,"trecho duarte, 20
conjunto providencia
89701-222 cardoso / ce",RONDÔNIA
Helena Ribeiro,410.589.376-93,49,1976-05-21,"condomínio nathan martins, 35
lindéia
66825841 farias grande / al",SANTA CATARINA
Maria Sophia Da Luz,798.134.602-96,56,1968-12-23,"vale costa, 78
alto dos pinheiros
97539653 farias da mata / rn",SANTA CATARINA
Maysa Cirino,421.765.398-00,49,1975-11-04,"residencial de sá, 83
bairro das indústrias ii
95432489 andrade / pr",DISTRITO FEDERAL
Benício Nunes,284.167.350-26,60,1964-10-14,"condomínio de novaes, 3
madre gertrudes
12253-711 fernandes / pa",SANTA CATARINA
Gabriel Montenegro,987.160.354-10,27,1997-11-19,"quadra de azevedo, 11
vila antena
62371-513 nogueira / ba",MARANHÃO
Dra. Isabel Barros,921.307.856-03,31,1993-09-13,"fazenda yasmin marques, 3
aparecida 7ª seção
86152175 montenegro / sc",GOIÁS
João Felipe Gonçalves,670.142.835-53,46,1978-10-07,"jardim machado, 34
minas caixa
79092445 jesus da praia / to",AMAZONAS
Mariane Das Neves,023.679.541-43,59,1966-02-06,"setor lucca cardoso, 2
vila oeste
54617-816 caldeira / ba",PERNAMBUCO
Augusto Casa Grande,718.430.926-03,21,2003-08-04,"lago lucas moura, 22
maria tereza
73086883 vieira de costa / ms",GOIÁS
Maria Alice Borges,851.093.724-97,46,1979-04-19,"conjunto de das neves, 60
joão alfredo
90791-138 novais de minas / rr",MATO GROSSO
José Pedro Marques,496.307.825-29,22,2003-01-02,"largo caldeira, 44
solar do barreiro
11396-083 ferreira de minas / rj",RONDÔNIA
Mirella Novais,150.789.264-02,36,1989-01-01,"núcleo de pires, 68
aguas claras
07586-563 nascimento de castro / ma",ALAGOAS
Agatha Cirino,521.769.403-34,46,1979-07-10,"via de caldeira, 330
santa helena
31299-373 freitas / rj",DISTRITO FEDERAL
Maria Eduarda Gomes,302.917.586-30,59,1966-03-06,"trecho cardoso, 6
aeroporto
31478-062 cassiano / rs",RORAIMA
Luiz Otávio Sousa,830.152.976-86,29,1996-07-23,"vale vieira, 46
vila nova
79522195 da luz / df",PIAUÍ
Gael Brito,971.064.385-10,59,1965-09-18,"colônia josé miguel vargas, 69
santa lúcia
40646-752 fogaça da serra / mt",SANTA CATARINA
José Miguel Da Luz,480.317.569-10,50,1975-04-04,"colônia de farias, 58
são vicente
31360-771 fogaça verde / rr",PARÁ
Melina Casa Grande,867.150.234-17,58,1966-12-04,"praça de lopes, 5
dom joaquim
39033928 pereira / rn",SANTA CATARINA
Dra. Luara Rios,620.589.174-30,58,1967-03-29,"alameda fogaça
nossa senhora do rosário
64990985 silva verde / mg",PARANÁ
Vitória Da Mota,874.061.932-03,20,2005-07-17,"colônia da luz, 7
olhos d'água
34720-406 albuquerque / rj",CEARÁ
José Da Conceição,143.062.985-15,34,1990-07-25,"viela de pimenta, 94
dona clara
01416205 casa grande / mt",DISTRITO FEDERAL
Leonardo Sá,794.356.012-43,31,1994-06-24,"trevo alícia da costa, 297
santa maria
52438-174 freitas do galho / al",CEARÁ
Bella Santos,937.821.560-21,43,1982-02-23,"rodovia sousa, 2
bandeirantes
39810988 andrade / rs",RONDÔNIA
Ana Clara Gomes,572.610.934-16,22,2003-01-03,"lago de ribeiro, 663
bom jesus
20515-298 câmara / rn",TOCANTINS
Vinicius Pimenta,805.724.369-47,37,1987-10-10,"residencial de oliveira, 66
pousada santo antonio
79004-627 rezende do amparo / am",MARANHÃO
Ágatha Cardoso,958.342.706-38,39,1985-11-08,"alameda peixoto, 85
capitão eduardo
14725-365 montenegro / ac",GOIÁS
Benício Lima,613.784.295-91,26,1999-04-13,"feira pinto, 11
vila copasa
33443-359 alves / am",RIO DE JANEIRO
Yuri Moreira,127.398.640-78,23,2002-01-06,"jardim de dias, 59
flavio marques lisboa
96702579 fernandes / go",AMAZONAS
Dr. Danilo Costela,586.790.124-67,23,2002-07-01,"núcleo da conceição
são cristóvão
88988353 rocha / ma",MINAS GERAIS
João Pedro Caldeira,329.804.567-56,44,1981-07-20,"lagoa ana beatriz sampaio, 8
vila nova
63783-004 cardoso / se",GOIÁS
Isadora Casa Grande,390.146.287-22,43,1982-07-11,"setor maria helena teixeira, 895
vila são rafael
08630316 farias da mata / al",ACRE
Maria Júlia Camargo,856.142.390-06,26,1999-03-29,"esplanada melo, 26
milionario
38234-679 mendonça / mg",SÃO PAULO
Maria Clara Vieira,130.426.587-08,37,1987-11-30,"vereda da conceição, 589
califórnia
32906-942 novaes do norte / pr",DISTRITO FEDERAL
Melina Mendes,194.308.762-87,51,1974-02-16,"passarela de da cunha
venda nova
51485-196 da luz / rr",AMAZONAS
Dr. Luiz Miguel Da Luz,978.153.240-88,28,1997-04-21,"praia lopes, 63
das industrias i
47970-437 silveira / pb",RONDÔNIA
Raquel Moura,518.327.964-00,28,1997-05-29,"via thales pastor
nazare
54689761 aragão / ba",AMAZONAS
Isabela Novais,809.756.234-00,29,1996-04-08,"passarela pinto, 88
virgínia
67610-527 peixoto / pb",AMAZONAS
Ana Sophia Cunha,506.817.924-85,19,2006-05-15,"aeroporto leonardo cardoso, 329
tirol
33570020 macedo / rn",PARÁ
Bruna Teixeira,132.407.596-16,37,1987-09-29,"sítio ana luiza fernandes, 221
vila são francisco
57460757 da mata / ce",SÃO PAULO
Enzo Gabriel Da Paz,431.058.692-98,47,1977-08-19,"estação moreira, 91
concórdia
76792-979 da rosa de aparecida / mg",BAHIA
Vitor Barbosa,542.706.198-30,38,1987-03-15,"vale de souza, 8
são bernardo
11686883 farias / to",PARAÍBA
Maria Luísa Da Luz,849.320.157-04,31,1994-04-23,"campo pires, 84
caiçara - adelaide
81071199 barbosa / rn",ALAGOAS
Nathan Mendes,509.638.217-68,40,1985-02-07,"campo anthony jesus, 73
vale do jatoba
38845591 vargas / pb",SERGIPE
Dra. Esther Aparecida,891.235.764-64,45,1980-05-17,"campo jesus, 95
gutierrez
87638776 da conceição do oeste / rn",BAHIA
Maria Julia Vargas,302.416.758-71,49,1976-04-22,"feira araújo, 66
horto
52829286 azevedo / ce",ESPÍRITO SANTO
Rael Barros,869.325.710-21,21,2004-06-23,"lago isabella abreu, 32
boa união 2ª seção
79737487 da mota / pa",CEARÁ
Alexandre Camargo,186.750.293-30,35,1989-08-06,"largo de oliveira, 981
providencia
83647469 caldeira / ap",BAHIA
Dr. Theo Casa Grande,208.734.965-74,20,2005-03-13,"sítio ana vitória gomes, 16
mala e cuia
10355682 guerra / df",PARÁ
Ana Clara Macedo,389.542.167-73,22,2003-03-26,"ladeira machado, 22
laranjeiras
58300280 campos / ba",AMAZONAS
Ravi Lucca Sousa,135.948.260-15,46,1978-08-03,"parque ana carolina vasconcelos, 1
morro dos macacos
73128-356 cavalcanti / pr",PARAÍBA
Maria Fernanda Da Rosa,946.021.837-78,43,1982-03-21,"avenida liam gonçalves, 558
paraíso
21613-103 da mata / mg",RIO DE JANEIRO
Dr. Kevin Da Paz,824.509.671-76,51,1973-11-13,"vale vitor hugo silveira
vila santo antônio
53616-799 moraes / sc",MATO GROSSO DO SUL
Clarice Mendonça,085.276.139-21,35,1990-06-18,"residencial de sampaio, 719
vila madre gertrudes 4ª seção
12295-006 machado do amparo / rj",PARÁ
Maria Luísa Vasconcelos,521.739.864-73,34,1990-10-12,"feira carlos eduardo sales, 15
barro preto
50805-791 ramos de correia / to",ESPÍRITO SANTO
Theodoro Ribeiro,895.612.034-05,43,1982-04-01,"pátio de guerra, 19
santana do cafezal
54773-621 gonçalves da prata / ro",RIO DE JANEIRO
Joaquim Pacheco,032.914.867-22,36,1988-09-15,"viaduto luiz henrique da paz, 8
vila independencia 2ª seção
15803-426 costa / am",PARÁ
Davi Lucas Rezende,192.058.346-70,34,1991-02-13,"praça de teixeira, 89
beija flor
46131057 guerra / pi",MATO GROSSO DO SUL
Paulo Siqueira,638.092.415-98,43,1982-03-23,"lagoa isaac cunha, 655
ouro preto
24149-801 azevedo da mata / sp",MATO GROSSO
Marina Ferreira,523.906.817-86,44,1980-09-25,"conjunto de andrade, 40
castanheira
79273316 barros / se",ACRE
Luiz Henrique Camargo,624.083.157-35,37,1988-02-03,"quadra de da mata, 655
camponesa 1ª seção
85230-888 macedo / pb",MARANHÃO
Maria Sophia Pires,564.738.109-00,52,1972-11-02,"lagoa de pires, 76
são cristóvão
16447176 machado de minas / pr",RORAIMA
Vitor Hugo Casa Grande,432.758.691-91,58,1966-11-05,"avenida samuel peixoto, 654
vila antena
68856-054 abreu da serra / ce",RONDÔNIA
Alexandre Sá,315.720.946-99,54,1970-10-15,"lago de rezende, 985
flavio marques lisboa
95107639 macedo / pe",MATO GROSSO DO SUL
Ana Julia Araújo,089.732.154-50,26,1999-03-07,"viaduto ana vitória rios, 6
pedreira padro lopes
70979894 brito / pr",SERGIPE
Dr. Thiago Duarte,257.406.831-90,49,1975-08-17,"distrito machado, 59
vila tirol
24245027 jesus / es",GOIÁS
Aylla Da Conceição,532.819.074-23,48,1977-04-27,"parque de almeida, 69
vila são gabriel jacui
65506-086 santos grande / sc",SÃO PAULO
Lara Leão,089.142.536-51,48,1976-10-11,"viela de ramos, 2
flavio de oliveira
37134312 peixoto / am",PARANÁ
Lorena Costela,928.651.734-37,22,2002-09-20,"praça fernanda macedo, 57
bacurau
82036-855 ramos / pi",GOIÁS
Sr. Gabriel Castro,384.092.657-29,29,1996-06-21,"favela jesus
céu azul
45763-119 ramos verde / mt",PERNAMBUCO
Maria Luísa Lopes,412.736.850-08,33,1992-06-07,"fazenda jesus, 28
tiradentes
89832754 mendonça do galho / ce",PIAUÍ
Antonella Porto,528.973.610-77,56,1968-09-23,"sítio leão, 243
nova suíça
67464-376 porto / rr",ALAGOAS
João Guilherme Lima,427.683.019-22,50,1975-06-20,"núcleo da rocha, 64
outro
07893611 souza de goiás / ac",PARANÁ
Luiz Otávio Moura,541.803.269-06,28,1996-10-08,"vereda luiza vasconcelos, 889
carlos prates
00914-978 jesus de montenegro / rj",ACRE
Brayan Cassiano,604.259.318-89,58,1967-05-07,"conjunto lopes, 47
atila de paiva
75330-391 castro da prata / ba",BAHIA
Erick Teixeira,342.698.075-47,57,1968-02-23,"alameda de rios, 70
santa efigênia
31527995 dias do norte / pr",CEARÁ
Ana Beatriz Duarte,640.572.891-94,46,1978-12-21,"avenida cavalcanti, 14
vila nova cachoeirinha 1ª seção
20443181 moura / ma",TOCANTINS
Heitor Pimenta,269.315.840-06,56,1968-08-30,"rodovia sá
serra
81659-949 albuquerque de fogaça / pa",AMAPÁ
Paulo Duarte,128.749.503-60,54,1971-05-01,"feira borges, 5
grota
56180475 silveira / go",AMAZONAS
Lara Cassiano,329.164.578-28,29,1996-07-12,"vila de alves, 991
pompéia
96722-130 lopes / pr",RIO DE JANEIRO
Gustavo Henrique Cavalcanti,271.048.695-49,42,1982-08-25,"passarela de da rocha, 8
santa cruz
54004341 cardoso / ce",BAHIA
Sabrina Macedo,237.609.154-34,52,1972-08-19,"lagoa de silva, 74
santo andré
05848-739 albuquerque dos dourados / rj",AMAZONAS
Guilherme Cassiano,807.625.943-65,34,1990-10-30,"trecho ana vitória silva, 9
calafate
01894815 macedo / am",MATO GROSSO
Maria Cecília Martins,386.429.510-60,29,1996-07-14,"vereda pietra jesus, 67
belvedere
19488-584 rodrigues / ce",TOCANTINS
Mariane Da Mota,179.520.843-05,29,1995-10-12,"sítio montenegro, 95
monte azul
55860625 novaes da serra / pb",CEARÁ
Ayla Guerra,370.618.249-13,54,1971-05-03,"rua machado, 30
vila são gabriel
83520669 da costa / sc",MATO GROSSO
Rhavi Melo,062.875.194-01,41,1984-06-01,"loteamento sampaio, 6
santa lúcia
94186-055 da rosa das flores / ba",RORAIMA
Dra. Alice Fonseca,123.645.098-15,54,1970-11-03,"via pastor, 131
vila barragem santa lúcia
00234-852 rodrigues / rj",TOCANTINS
Marcela Fernandes,896.451.307-00,47,1977-08-05,"via novaes, 48
túnel de ibirité
89014-776 montenegro / al",DISTRITO FEDERAL
Henry Gabriel Duarte,052.673.948-74,21,2004-01-01,"trevo marques, 81
conjunto paulo vi
17171-165 montenegro da prata / ms",RORAIMA
Esther Abreu,847.910.236-50,18,2007-04-12,"setor melo, 16
santo antônio
25272-927 silva / go",GOIÁS
Rael Nogueira,156.892.370-86,58,1967-06-07,"aeroporto de camargo, 247
aparecida 7ª seção
55606-641 sá do galho / go",TOCANTINS
Lucca Pinto,258.904.761-49,38,1986-11-21,"recanto brayan dias, 134
diamante
31747-904 martins de da cunha / es",SERGIPE
Caroline Moura,567.891.430-84,32,1992-08-08,"loteamento de albuquerque, 111
pousada santo antonio
26334-512 cardoso do sul / es",MINAS GERAIS
Mariah Freitas,972.314.806-40,42,1982-09-30,"morro de pereira
alto vera cruz
03717-895 sousa / al",MATO GROSSO DO SUL
Emilly Sá,954.283.017-32,46,1978-12-31,"núcleo de barbosa, 167
mariano de abreu
62066255 da costa de borges / rj",PARAÍBA
Josué Costa,358.079.416-75,58,1967-05-16,"fazenda de farias, 3
coqueiros
75639-546 sá de fernandes / sc",AMAPÁ
Luara Costa,782.649.015-49,35,1990-04-29,"feira silva, 62
nova america
43907818 sá de guerra / ma",PARÁ
Murilo Da Mota,805.149.736-84,59,1965-08-16,"fazenda gustavo silva, 50
ipiranga
19977-025 alves / pi",PERNAMBUCO
Rhavi Cassiano,058.317.296-21,47,1978-01-29,"aeroporto nogueira, 7
santa isabel
98934-264 araújo / sp",MATO GROSSO DO SUL
Sara Montenegro,187.439.205-60,19,2006-02-11,"aeroporto de pimenta, 33
santa inês
77100-760 almeida / mt",RORAIMA
Manuella Montenegro,147.839.605-93,18,2006-07-25,"condomínio sampaio, 27
copacabana
59229-045 duarte / pi",MINAS GERAIS
João Pedro Leão,750.342.168-17,29,1996-06-05,"favela de moraes
mirtes
62846-754 pacheco / am",SERGIPE
Rael Da Luz,795.026.318-03,37,1987-08-22,"recanto castro, 72
guarani
33235103 siqueira de pastor / rj",MINAS GERAIS
Maria Julia Gomes,590.213.847-79,54,1970-10-15,"viaduto nascimento, 54
varzea da palma
73774580 da costa / ce",SANTA CATARINA
Emanuel Almeida,892.761.450-01,35,1990-04-22,"travessa de da mota, 37
mala e cuia
83122-006 sales das pedras / mt",MARANHÃO
Olívia Almeida,624.395.180-42,53,1971-11-03,"jardim hadassa farias, 18
carmo
58539091 da mota / pb",PIAUÍ
Bernardo Fonseca,109.685.327-21,51,1973-10-13,"trecho jade albuquerque
mantiqueira
90706-238 duarte paulista / rr",MINAS GERAIS
Sr. Juan Rocha,783.420.196-40,42,1983-03-14,"aeroporto anna liz pires, 67
granja werneck
13226115 cassiano da mata / am",MARANHÃO
Bianca Freitas,257.863.940-00,43,1982-02-24,"vale luiz felipe brito, 723
vila de sá
13165248 vargas de pastor / rs",TOCANTINS
Oliver Da Cruz,837.240.961-78,40,1984-11-15,"largo de da cruz, 7
vila engenho nogueira
90414354 gomes / ma",RORAIMA
Sra. Ana Carolina Freitas,650.471.839-39,36,1988-08-14,"viela abreu, 806
ademar maldonado
52122825 macedo de da rocha / pb",PIAUÍ
Laís Borges,973.124.058-60,47,1977-09-11,"área de abreu, 619
barro preto
60175-344 brito verde / ro",ACRE
Dr. José Pedro Montenegro,450.761.389-20,29,1995-12-27,"feira de dias, 112
união
31710053 sousa / mt",SERGIPE
Pedro Lucas Cavalcanti,281.430.697-96,37,1988-07-05,"viela correia, 31
esplanada
00537337 pereira paulista / ap",DISTRITO FEDERAL
Joana Sales,428.136.059-05,18,2006-09-23,"esplanada elisa jesus, 53
planalto
17499-468 brito de sales / pr",TOCANTINS
Isadora Cavalcanti,053.642.917-07,19,2006-03-20,"alameda de moraes, 58
granja de freitas
84535-255 azevedo da prata / go",SANTA CATARINA
Giovanna Moura,317.802.549-97,40,1985-07-17,"favela bernardo da luz, 627
vila madre gertrudes 1ª seção
58601-168 santos do campo / rs",RONDÔNIA
Lucca Fogaça,603.218.579-68,60,1965-07-10,"morro de vieira, 5
santa inês
76635664 nascimento alegre / go",PARÁ
Alícia Alves,657.321.408-08,30,1995-05-18,"estação de sá, 972
jardim montanhês
50464241 pastor dos dourados / df",RIO GRANDE DO SUL
Vinícius Freitas,947.532.106-34,40,1985-03-31,"colônia de castro, 80
são pedro
75989-560 vasconcelos de goiás / rr",TOCANTINS
Maria Isis Vargas,621.843.709-40,24,2000-10-12,"núcleo calebe pinto, 19
monte azul
49048-536 sales verde / pa",ALAGOAS
Gael Teixeira,025.436.879-47,19,2005-08-23,"jardim luara barbosa, 81
horto florestal
60240047 rios de da cruz / rs",MATO GROSSO DO SUL
Vinícius Carvalho,157.068.924-58,55,1969-12-06,"campo pires, 97
lourdes
84238762 moraes grande / ro",CEARÁ
Sr. João Guilherme Nascimento,460.138.925-98,54,1970-11-04,"colônia aragão, 99
calafate
94081665 santos / es",SANTA CATARINA
Ana Lívia Mendonça,120.637.598-12,50,1975-03-07,"largo anna liz leão, 56
etelvina carneiro
46095-947 porto / pa",PERNAMBUCO
Ian Pimenta,250.379.641-99,60,1964-08-16,"jardim abreu, 2
lagoa
70670-306 pacheco de azevedo / rj",GOIÁS
Dra. Maria Liz Fogaça,750.864.291-02,40,1984-10-20,"colônia pedro da costa, 86
bonfim
70600936 nascimento das flores / mg",RIO DE JANEIRO
Otto Das Neves,862.375.940-00,36,1989-06-07,"avenida rodrigo fernandes
das industrias i
49029-892 da conceição / ms",ESPÍRITO SANTO
Carlos Eduardo Mendonça,964.108.375-93,43,1982-04-28,"passarela santos, 18
vila barragem santa lúcia
29071845 cavalcanti / es",SANTA CATARINA
Sr. Cauê Pinto,836.504.127-80,33,1991-12-17,"lagoa de ferreira, 40
alto barroca
49871-898 pastor da prata / am",DISTRITO FEDERAL
Maria Vitória Da Rosa,213.607.498-96,18,2006-12-30,"trecho melo, 85
bom jesus
89374-937 freitas de câmara / pi",MARANHÃO
Ana Júlia Cardoso,869.074.125-94,35,1990-03-09,"estação maria helena silveira, 418
conjunto são francisco de assis
65220-561 da costa das flores / es",PIAUÍ
Eduarda Cavalcanti,397.682.154-37,49,1976-06-08,"morro da cunha, 3
conjunto bonsucesso
81699037 marques de goiás / pi",MINAS GERAIS
Benjamin Pereira,746.309.128-78,55,1970-03-27,"alameda monteiro, 48
vila canto do sabiá
84456-575 cavalcante / df",SERGIPE
Caio Freitas,098.426.537-65,52,1972-11-18,"distrito rios, 3
vila califórnia
01859437 ferreira / mt",CEARÁ
Natália Lima,381.504.269-06,20,2004-08-24,"distrito ravi cassiano, 51
tres marias
78973-283 correia de minas / ac",BAHIA
Leandro Santos,923.516.408-70,37,1988-05-20,"loteamento de sousa, 1
são josé
51336370 campos / go",TOCANTINS
Sr. Luiz Fernando Barbosa,964.271.085-49,56,1969-05-17,"rua de santos, 57
canadá
26115-921 santos / am",PIAUÍ
Dr. Thiago Andrade,394.206.758-74,34,1990-11-26,"travessa de das neves, 55
jardim alvorada
37523727 casa grande / ce",PERNAMBUCO
Ana Laura Sousa,357.691.842-64,49,1976-07-23,"travessa de da rocha, 6
conjunto califórnia ii
07726443 sales / pi",SERGIPE
Rael Guerra,017.526.984-01,32,1993-05-21,"campo emanuel gomes
cabana do pai tomás
58986651 teixeira de sá / am",TOCANTINS
Bernardo Da Luz,427.193.856-46,43,1982-04-30,"vale duarte
campo alegre
54625-112 freitas alegre / to",RONDÔNIA
Anthony Melo,238.560.971-12,31,1994-04-03,"loteamento arthur gabriel cardoso, 80
pirineus
84758-901 costela / ac",CEARÁ
Amanda Da Rosa,547.603.289-47,44,1980-10-22,"distrito de da conceição, 81
laranjeiras
98627750 dias de castro / go",MINAS GERAIS
Sra. Camila Camargo,739.514.806-10,28,1997-05-18,"colônia yuri costela, 745
monte são josé
39356046 vieira do norte / pe",BAHIA
Luana Pinto,713.820.645-35,19,2005-10-17,"chácara valentina correia, 89
santa tereza
23799315 barbosa / df",SANTA CATARINA
Bárbara Novais,621.934.570-34,55,1969-12-18,"morro olívia fonseca, 62
mineirão
51660047 cunha / pa",MATO GROSSO
Gael Macedo,759.231.846-64,23,2001-12-08,"lago anthony gabriel gomes, 56
são cristóvão
98664099 vargas / pa",RIO GRANDE DO SUL
Breno Da Cunha,590.764.138-00,35,1989-11-01,"estrada de fonseca, 1
fernão dias
19523069 monteiro do galho / am",ESPÍRITO SANTO
Dr. Miguel Cassiano,630.215.984-98,29,1995-09-29,"praia laura silveira, 642
santa cecilia
54180463 santos / pb",PERNAMBUCO
Eduardo Santos,298.043.716-69,20,2005-04-05,"passarela antonella cardoso, 64
savassi
65749-157 araújo dos dourados / sp",DISTRITO FEDERAL
Oliver Cassiano,605.914.237-07,52,1972-11-27,"lagoa de jesus
vila jardim montanhes
65521-165 castro / rn",RIO GRANDE DO SUL
Emanuella Lopes,041.798.635-10,19,2006-03-22,"rua mendonça
céu azul
58859-121 cunha / rn",MATO GROSSO DO SUL
João Vitor Mendes,219.073.465-70,56,1969-06-12,"trecho de brito
camargos
25468-617 martins / es",PIAUÍ
Davi Lucas Da Mata,729.043.561-34,37,1987-08-12,"praia de brito
lourdes
94267-267 moreira da prata / ap",MARANHÃO
Esther Santos,534.071.296-61,57,1967-12-06,"residencial de da mota, 56
rio branco
64489431 cavalcanti / ma",DISTRITO FEDERAL
Maysa Fogaça,876.043.952-10,43,1982-03-12,"passarela montenegro, 919
marilandia
21511-036 mendonça / pr",RIO GRANDE DO SUL
Josué Guerra,735.984.126-73,33,1991-07-27,"passarela de sousa, 59
camargos
50245-937 freitas / sc",RORAIMA
Brenda Fernandes,024.567.813-17,47,1977-09-06,"trevo de fernandes, 39
vila piratininga venda nova
32652351 mendonça do galho / ce",ACRE
Sofia Correia,149.562.037-99,54,1970-11-10,"favela peixoto
novo ouro preto
18656058 barbosa / to",ACRE
Marcelo Sá,293.408.756-56,54,1971-03-18,"feira de duarte
vila cloris
81028167 aparecida de vieira / pb",RIO DE JANEIRO
Dr. Gael Henrique Garcia,823.017.465-26,45,1979-09-02,"ladeira andré dias, 93
outro
04215660 gonçalves / rn",SÃO PAULO
Stella Cirino,901.564.278-85,34,1991-01-20,"trevo de aragão, 5
estrela do oriente
74221-842 pereira de vieira / ms",PIAUÍ
Melissa Nunes,482.163.759-64,32,1992-12-08,"favela guilherme casa grande, 849
acaiaca
33574680 moreira de aragão / ms",MATO GROSSO
Ana Vitória Ramos,173.964.825-00,48,1977-03-15,"lago monteiro, 5
são gonçalo
21681434 araújo do norte / pa",SÃO PAULO
Olívia Lima,076.591.384-48,54,1970-07-31,"residencial pastor, 64
vila santo antônio
18785-544 da luz / ma",RIO DE JANEIRO
Arthur Nascimento,310.589.746-10,40,1985-04-16,"sítio vitor gabriel araújo, 666
vila oeste
40061-123 ribeiro / pb",RORAIMA
Sra. Sara Da Conceição,328.401.965-06,46,1978-08-20,"setor valentim borges, 29
planalto
98884-519 siqueira / rn",TOCANTINS
Raquel Cardoso,348.291.506-70,23,2001-12-01,"vale de da conceição, 1
vila mantiqueira
93335035 rocha de freitas / rr",BAHIA
Emanuelly Caldeira,741.825.930-14,23,2002-05-12,"colônia de santos
novo santa cecilia
25705-668 albuquerque / ce",PARAÍBA
Dra. Aurora Duarte,069.241.357-06,38,1987-03-22,"avenida sofia da rosa
vila canto do sabiá
25153322 da luz / se",RONDÔNIA
Dr. Rhavi Dias,830.964.257-10,30,1994-08-11,"alameda maria fernanda silveira, 49
candelaria
07265825 da cruz de minas / am",PIAUÍ
Srta. Isabel Rios,703.954.126-25,30,1995-02-25,"via da paz, 653
fazendinha
26448889 nascimento alegre / es",AMAPÁ
Luara Porto,459.037.862-00,37,1988-05-30,"pátio miguel pimenta, 8
são sebastião
78922554 vargas grande / ce",ESPÍRITO SANTO
Brayan Santos,368.047.529-29,23,2002-04-13,"vereda de moreira, 87
minaslandia
30718-789 da cruz de minas / rr",SERGIPE
Maria Andrade,691.278.450-01,43,1981-07-28,"praia de duarte, 18
vila da ária
09901-691 siqueira / to",RONDÔNIA
Matteo Araújo,067.841.259-67,54,1971-07-09,"morro maria rocha
coqueiros
78314949 lima de pimenta / ap",AMAZONAS
Valentim Moura,092.716.435-34,34,1991-04-11,"parque vasconcelos, 91
cônego pinheiro 1ª seção
50526256 da paz / rr",AMAPÁ
Dr. Ravi Lucca Rodrigues,048.316.295-70,53,1971-10-23,"passarela albuquerque, 40
jardim vitoria
02379-503 fogaça / pb",PIAUÍ
Guilherme Jesus,279.813.405-60,28,1997-06-15,"trevo costela, 63
serra
68883536 moreira alegre / pa",RORAIMA
